,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
0,Asger Hartvig Aaboe,M,26 April 1922,1922.0,"Copenhagen, Denmark",Denmark,19 January 2007,2007.0,"North Haven, Connecticut, USA",United States,Ph.D.,Ph.D.,Brown University,United States,1957.0,1.0,['01'],1954.0,19.0,1.0,4.0,5.0,Asger Aaboe was a Danish mathematician who is known for his contributions to the history of ancient Babylonian astronomy.
1,Ernst Abbe,M,23 January 1840,1840.0,"Eisenach, Grand Duchy of Saxe-Weimar-Eisenach (now in Germany)",Germany,14 January 1905,1905.0,"Jena, Germany",Germany,Dr. phil.,Ph.D.,Georg-August-Universität Göttingen,Germany,1861.0,,,,,1.0,2.0,10.0,Ernst Abbe was a German instument maker who made important improvements in lens design.
2,Edwin Abbott Abbott,M,20 December 1838,1838.0,"Marylebone, Middlesex, England",United Kingdom,12 October 1926,1926.0,"Hampstead, London, England",United Kingdom,,,,,,1.0,['01'],1991.0,7.0,,,,Edwin Abbott was an English schoolmaster who wrote the popular book Flatland as an introduction to higher dimensions.
3,Niels Henrik Abel,M,5 August 1802,1802.0,"Frindöe (near Stavanger), Norway",Norway,6 April 1829,1829.0,"Froland, Norway",Norway,,,Universitetet i Oslo,Norway,1822.0,1.0,"['01', '15']",1826.0,25.0,0.0,0.0,0.0,Niels Abel was a Norwegian mathematician who proved the impossibility of solving algebraically the general equation of the fifth degree.
4,Pedro Abellanas Cebollero,M,20 November 1914,1914.0,"Zaragoza, Spain",Spain,29 July 1999,1999.0,"Madrid, Spain",Spain,Ph.D.,Ph.D.,Universidad de Madrid,Spain,1941.0,14.0,"['14', '48', '00', '32', '09', '01', '69', '58', '55', '52', '50', '46', '20', '18', '16', '15', '04']",1942.0,45.0,1.0,22.0,390.0,Pedro Abellanas was a Spanish mathematician who worked in algebraic geometry and wrote many important text-books.
5,Shreeram Shankar Abhyankar,M,22 July 1930,1930.0,"Ujjain, India",India,2 November 2012,2012.0,"West Lafayette, Indiana, USA",India,Ph.D.,Ph.D.,Harvard University,United States,1956.0,14.0,"['14', '12', '13', '32', '05', '20', '09', '01', '00', '81', '18', '11', '90', '41', '15']",1954.0,190.0,1.0,29.0,62.0,Shreeram Shankar Abhyankar was an Indian-born American mathematician who worked in algebraic geometry.
6,Raimundo Chela Aboudib,M,17 November 1919,1919.0,"Carúpano, Sucre state, Venezuela",Venezuela,3 July 1984,1984.0,"Caracas, Venezuela",Venezuela,Ph.D.,Ph.D.,University of London,United Kingdom,1961.0,12.0,"['12', '03']",1963.0,2.0,1.0,0.0,0.0,Raimundo Chela was a Venezuelan mathematician who made a substantial contribution to improving the teaching of mathematics in Venezuela at all school and university levels.
7,Abraham bar Hiyya Ha-Nasi,M,1070,1070.0,Barcelona (now Spain),Spain,1136,1136.0,"Provence, France",France,,,,,,,,,,,,,Abraham bar Hiyya was a Spanish Jewish mathematician and astronomer. He wrote the first book to introduce Islamic algebra to Europe.
8,Max Abraham,M,26 March 1875,1875.0,"Danzig, Germany (now Gdańsk, Poland)",Germany,16 November 1922,1922.0,"Munich, Germany",Germany,Dr. phil.,Ph.D.,Universität Berlin,Germany,1897.0,,,,,1.0,0.0,0.0,Max Abraham was a German physicist who worked on electromagnetism and relativity.
9,Nicolae Abramescu,M,31 March 1884,1884.0,"Târgoviște, Dambovita County, Romania",Romania,11 February 1947,1947.0,"Cluj, Romania",Romania,,,,,,53.0,"['53', '48', '09']",1939.0,12.0,,,,Nicolae Abramescu was a Romanian mathematician who worked in descriptive geometry.
10,Abu Kamil Shuja ibn Aslam ibn Muhammad ibn Shuja,M,about 850,850.0,(possibly) Egypt,Egypt,about 930,930.0,,,,,,,,1.0,['01'],2012.0,1.0,,,,Abu Kamil Shuja was an Islamic mathematician. He was one of Al-Khwarismi's successors and applied algebraic methods to geometric problems.
11,Mohammad Abu'l-Wafa Al-Buzjani,M,10 June 0940,940.0,"Buzjan (near Jam), Khorasan region (now in Iran)",Iran,15 July 998,998.0,Baghdad (now in Iraq),Iraq,,,,,,1.0,['01'],1966.0,2.0,,,,Abu'l-Wafa was an Islamic astronomer and mathematician who wrote commentaries on the works of earlier mathematicians. He made astronomical observations and constructed accurate trigonometric tables.
12,Wilhelm Ackermann,M,29 March 1896,1896.0,"Schönebeck (Kr. Altena), Germany",Germany,24 December 1962,1962.0,"Lüdenscheid, Germany",Germany,Dr. rer. nat.,Ph.D.,Georg-August-Universität Göttingen,Germany,1925.0,2.0,['02'],1925.0,24.0,1.0,0.0,0.0,Wilhelm Ackermann was a mathematical logician who worked with David Hilbert in Göttingen but spent his career as a high school teacher.
13,Francisco Javier González Acuña,M,21 January 1942,1942.0,"Tampico, Tamaulipas, México",Mexico,,,,,,,,,,57.0,"['57', '55', '20', '46', '18', '30', '26']",1963.0,63.0,,,,"Francisco González Acuña is a leading Mexican topologist whose works represent fundamental contributions to low-dimensional topology. He had been a keynote speaker at many international conferences, and has exerted tremendous influence on topology in Mexico."
14,János Dezső Aczél,M,26 December 1924,1924.0,"Budapest, Hungary",Hungary,1 January 2020,2020.0,"Ottawa, Ontario, Canada",Canada,Ph.D.,Ph.D.,Eötvös Loránd University,Hungary,1947.0,39.0,"['39', '94', '90', '53', '20', '27', '91', '60', '26', '50', '01', '00', '92', '65', '62', '52', '40', '35', '30', '09', '71', '68', '56', '54', '51', '48', '46', '41', '36', '33', '28', '22', '16', '14', '10', '08', '06', '05', '04']",1947.0,270.0,2.0,15.0,113.0,"János Aczél was a Hungarian mathematician who spent the second half of his career in Canada. He was a leading expert in functional equations, organised many international conferences on the topic and wrote important books."
15,Pedro Puig Adam,M,12 May 1900,1900.0,"Barcelona, Spain",Spain,12 January 1960,1960.0,"Madrid, Spain",Spain,Ph. D.,Ph.D.,Universidad Complutense de Madrid,Spain,1921.0,27.0,"['27', '42', '26', '93', '90', '65', '56', '48', '44', '01']",1939.0,16.0,1.0,0.0,0.0,Pedro Puig Adam was a Spanish mathematician and engineer who worked in relativistic mechanics.
16,Edwin Plimpton Adams,M,23 January 1878,1878.0,"Prague, Bohemia, Austro-Hungary (now Czech Republic)",Hungary,31 December 1956,1956.0,"Princeton, USA",United States,,,,,,79.0,['79'],1920.0,2.0,,,,"Edwin Adams studied at Harvard, Göttingen and Cambridge and became Physics Professor at Princeton. He is best known for his translations of some of Einstein's lectures."
17,John Frank Adams,M,5 November 1930,1930.0,"Woolwich, London, England",United Kingdom,7 January 1989,1989.0,"Near Brampton, Huntingdonshire, England",United Kingdom,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1956.0,55.0,"['55', '57', '22', '18', '15', '01', '58', '27']",1954.0,95.0,1.0,25.0,717.0,Frank Adams was an English algebraic topologist who pioneered methods for calculating the homotopy of spheres.
18,John Couch Adams,M,5 June 1819,1819.0,"Lidcott, near Launceston, Cornwall, England",United Kingdom,21 January 1892,1892.0,"Cambridge, England",United Kingdom,,,,,,,,,,,,,John Couch Adams was an astronomer and mathematician who was the first person to predict the position of a planet beyond Uranus.
19,Louise Doris Adams,F,2 July 1889,1889.0,"Tuffley, Gloucester, England",United Kingdom,24 December 1965,1965.0,"Worthing, Sussex, England",United Kingdom,,,,,,,,,,,,,"Louise Doris Adams was a school teacher and school inspector who did much to improve the teaching of mathematics in schools. She was enthusiastically involved with the Mathematical Association and in 1959-60 she served as its President, being only the second woman to hold this role."
20,Iain Thomas Arthur Carpenter Adamson,M,17 June 1928,1928.0,"Dundee, Scotland",United Kingdom,9 June 2010,2010.0,"Nedlands, WA, Australia",Australia,Ph.D.,Ph.D.,Princeton University,United States,1952.0,16.0,"['16', '12', '54', '26', '09', '04']",1952.0,9.0,1.0,0.0,0.0,Iain Adamson was a Scottish mathematician who worked in algebra and published several widely appreciated text-books.
21,Adelard of Bath,M,1075,1075.0,"Bath, England",United Kingdom,1160,1160.0,,,,,,,,,,,,,,,Adelard was an English philosopher who translated Arabic mathematical works into Latin.
22,José Adem Chahín,M,27 October 1921,1921.0,"Tuxpan, Veracruz, Mexico",Mexico,14 February 1991,1991.0,"Mexico City, Mexico",Mexico,Ph.D.,Ph.D.,Princeton University,United States,1952.0,55.0,"['55', '57', '11', '56', '73', '17', '15', '10', '01']",1949.0,29.0,1.0,1.0,1.0,"José Adem was a Mexican mathematician who made many outstanding contributions to topology. He is remembered today for the ""Adem relations"" which were introduced in his Princeton Ph.D. thesis of 1952."
23,Julián Adem Chahín,M,8 January 1924,1924.0,"Tuxpan, Veracruz, Mexico",Mexico,9 September 2015,2015.0,"Mexico City, Mexico",Mexico,Ph.D.,Ph.D.,Brown University,United States,1953.0,36.0,"['36', '86', '76', '73', '34']",1950.0,6.0,1.0,1.0,1.0,Julián Adem was a Mexican applied mathematician and geophysicist specialising in atmospheric sciences. He is most famous for developing the Hemispheric Thermodynamic Climate Model which simulated the natural climate.
24,Sergei Ivanovich Adian,M,1 January 1931,1931.0,"Kushchi, Dashkesan District, Azerbaijan Soviet Republic",Azerbaijan,5 May 2020,2020.0,"Moscow, Russia",Russia,Ph.D.,Ph.D.,,,1955.0,20.0,"['20', '01', '03', '26', '17', '02', '68', '43', '22', '08']",1955.0,90.0,1.0,16.0,32.0,Sergei Ivanovich Adian was an Armenian mathematician who worked in group theory and is known for his work on the Burnside problem.
25,Leonard Adleman,M,31 December 1945,1945.0,"San Francisco, California, USA",United States,,,,,Ph.D.,Ph.D.,"University of California, Berkeley",United States,1976.0,68.0,"['68', '11', '94', '03', '10', '90', '82', '14', '12', '05']",1974.0,47.0,1.0,4.0,5.0,Leonard Adleman is an American computer scientist best known for being one of the creators of the RSA encryption algorithm.
26,August Adler,M,24 January 1863,1863.0,"Opava, Austrian Silesia (now Czech Republic)",Austria,17 October 1923,1923.0,"Vienna, Austria",Austria,,,,,,,,,,,,,August Adler was a mathematician who was born in what was then Austria and who worked on geometric constructions using compasses only.
27,Robert Adrain,M,30 September 1775,1775.0,"Carrickfergus, Ireland",Ireland,10 August 1843,1843.0,"New Brunswick, New Jersey, USA",United States,,,,,,,,,,,,,Robert Adrain was an Irishman who was one of the first mathematicians to work in America.
28,Adriaan van Roomen,M,29 September 1561,1561.0,"Leuven, Spanish Netherlands (now Belgium)",Belgium,4 May 1615,1615.0,"Mainz, Germany",Germany,,,,,,,,,,,,,Adriaan van Roomen or Adrianus Romanus was a Flemish mathematician who calculated π to 16 decimal places using Archimedes' method.
29,Franz Maria Ulrich Theodosius Aepinus,M,13 December 1724,1724.0,"Rostock, Mecklenberg-Schwerin (now Germany)",Germany,10 August 1802,1802.0,"Dorpat, Russia",Russia,,,,,,,,,,,,,Franz Aepinus was a German scientist who did important work on electricity and magnetism.
30,Tatiana Ehrenfest-Afanassjewa,F,19 November 1876,1876.0,"Kiev, Russian Empire (now Kyiv, Ukraine)",Ukraine,14 April 1964,1964.0,"Leiden, The Netherlands",Netherlands,Ph.D.,Ph.D.,Universiteit Leiden,Netherlands,1931.0,82.0,['82'],1959.0,2.0,1.0,0.0,0.0,Tatiana Alexeyevna Afanassjewa was a Ukrainian-born Dutch mathematician and physicist who made contributions to the fields of statistical mechanics and statistical thermodynamics.
31,Maria Gaëtana Agnesi,F,16 May 1718,1718.0,"Milan, Habsburg Empire (now Italy)",Italy,9 January 1799,1799.0,"Milan, Habsburg Empire (now Italy)",Italy,,,,,,,,,,,,,Maria Agnesi was an Italian mathematician who is noted for her work in differential calculus. She discussed the cubic curve now known as the 'witch of Agnesi'.
32,Nkechi Madonna Adeleine Agwu,F,8 October 1962,1962.0,"Enugu, Nigeria",Niger,,,,,Ph.D.,Ph.D.,Syracuse University,United States,1995.0,1.0,['01'],1997.0,2.0,1.0,0.0,0.0,"Nkechi Agwu was born in Nigeria where she eared her first degree, then went to the United States for her doctorate. She is an expert on mathematical education and is particularly interested in ethnomathematics."
33,Lars Valerian Ahlfors,M,18 April 1907,1907.0,"Helsingfors, Finland, Russian Empire (now Helsinki, Finland)",Finland,11 October 1996,1996.0,"Pittsfield, Massachusetts, USA",United States,Ph.D.,Ph.D.,Helsingin yliopisto,Finland,1932.0,30.0,"['30', '01', '20', '15', '65', '53', '45', '35', '31', '22', '00']",1932.0,100.0,2.0,30.0,1262.0,Lars Ahlfors was a Finnish mathematician who made important contributions to Complex Analysis and was one of the first recipients of a Fields Medal.
34,Ahmed ibn Yusuf al-Misri,M,835,835.0,Baghdad (now in Iraq),Iraq,912,912.0,"Cairo, Egypt",Egypt,,,,,,,,,,,,,Ahmed ibn Yusuf was an Islamic mathematician who wrote a commentary on Euclid's Elements which influenced later European mathematicians.
35,Ahmes,M,about 1680 BC,-1679.0,Egypt,Egypt,about 1620 BC,-1619.0,Egypt,Egypt,,,,,,,,,,,,,Ahmes was the Egyptian scribe who wrote the Rhind Papyrus - one of the oldest known mathematical documents.
36,Wilhelm Ernst Martin Georg Ahrens,M,3 March 1872,1872.0,"Lübz an der Elde, Mecklenburg, Germany",Germany,23 April 1927,1927.0,"Rostock, Germany",Germany,Dr. phil.,Ph.D.,Universität Rostock,Germany,1895.0,,,,,1.0,0.0,0.0,Wilhelm Ahrens was a German mathematician best known for his work on recreational mathematics.
37,Aida Yasuaki,M,10 February 1747,1747.0,"Yamagata, Japan",Japan,26 October 1817,1817.0,"Edo (now Tokyo), Japan",Japan,,,,,,,,,,,,,Aida Yasuaki was a Japanese mathematician who published about 2000 works.
38,Howard Hathaway Aiken,M,9 March 1900,1900.0,"Hoboken, New Jersey, USA",United States,14 March 1973,1973.0,"St Louis, Missouri, USA",United States,Ph.D.,Ph.D.,Harvard University,United States,1939.0,65.0,['65'],1946.0,5.0,1.0,11.0,1465.0,Howard Aiken was a pioneer designer of early computers.
39,John Robinson Airey,M,June 1868,1868.0,"Hunslet, Leeds, England",United Kingdom,16 September 1937,1937.0,"Llwynon, Newtown, Montgomeryshire, Wales",Wales,,,,,,,,,,,,,John Airey graduated from Cambridge and became Principal of the West Ham Technical Institute. He is best known for his work in producing tables of mathematical functions.
40,George Biddell Airy,M,27 July 1801,1801.0,"Alnwick, Northumberland, England",United Kingdom,2 January 1892,1892.0,"Greenwich, England",United Kingdom,,,,,,,,,,,,,George Airy was Lucasian professor at Cambridge and Astronomer Royal. He made many major contributions to mathematics and astronomy.
41,John Aitchison,M,22 July 1926,1926.0,"East Linton, East Lothian, Scotland",United Kingdom,23 December 2016,2016.0,"Glasgow, Scotland",United Kingdom,,,,,,62.0,"['62', '86', '92']",1954.0,44.0,,,,"John Aitchison was a Scottish statistician who made contributions to distribution theory, practical Bayesian statistics, statistical diagnosis in medicine and other areas of applied and theoretical statistics."
42,Alexander Craig Aitken,M,1 April 1895,1895.0,"Dunedin, New Zealand",New Zealand,3 November 1967,1967.0,"Edinburgh, Scotland",United Kingdom,D.Sc.,Ph.D.,The University of Edinburgh,United Kingdom,1925.0,62.0,"['62', '65', '01', '15', '09', '60', '42', '20', '10']",1927.0,32.0,1.0,26.0,1421.0,"Alec Aitken was a New Zealand mathematician who served at Gallipoli and in France. He had a prodigious memory and calculating ability and worked in Statistics, Numerical Analysis and Algebra."
43,V Ramaswami Aiyar,M,1871,1871.0,"Satyamangalam, Coimbatore district, India",India,22 January 1936,1936.0,"Chittoor, India",India,,,,,,,,,,,,,Ramaswami Aiyar was an enthusiastic amateur mathematician who worked as a civil servant in India. He was a founder of the Indian Mathematical Society.
44,Chokuyen Naonobu Ajima,M,1732,1732.0,"Shiba, Edo (now Tokyo), Japan",Japan,14 November 1798,1798.0,"Shiba, Edo, Japan",Japan,,,,,,90.0,['90'],1981.0,2.0,,,,Naonobu Ajima was a Japanese mathematician and astronomer who developed a theory of integration.
45,Naum Il'ich Akhiezer,M,6 March 1901,1901.0,"Cherikov, Ruussian Empire (now Belarus)",Belarus,3 June 1980,1980.0,"Kharkov, USSR",Russia,,,,,,42.0,"['42', '30', '01', '47', '44', '27', '41', '49', '33', '46', '45', '34', '32', '78', '76', '52', '35']",1940.0,102.0,,,,Naum Il'ich Akhiezer was a Soviet mathematician whose main work was on function theory and approximation theory. He also produced works on the history of mathematics.
46,Daniel Afedzi Akyeampong,M,24 November 1938,1938.0,"Senya Beraku, British Gold Coast (now Ghana)",Ghana,7 March 2015,2015.0,"Accra, Ghana",Ghana,Ph.D.,Ph.D.,University of London,United Kingdom,1966.0,81.0,['81'],1965.0,3.0,2.0,1.0,1.0,Daniel Akyeampong was a Ghanaian mathematician known for applying algebraic methods to theoretical physics. He was important in the development of higher education in Ghana.
47,Baha' ad-Din al-Amili,M,27 February 1547,1547.0,"Baalbek, now in Lebanon",Lebanon,30 August 1621,1621.0,"Isfahan, Iran",Iran,,,,,,1.0,['01'],1976.0,1.0,,,,"Al Amili was a Lebanese-born mathematician who wrote influential works on arithmetic, astronomy and grammar."
48,Abu Mansur ibn Tahir Al-Baghdadi,M,about 980,980.0,"Baghdad, Iraq",Iraq,1037,1037.0,,,,,,,,,,,,,,,Al-Baghdadi was an Islamic mathematician who wrote about different systems of arithmetic in a work of great importance in the history of mathematics.
49,al-Marrakushi ibn Al-Banna,M,29 December 1256,1256.0,"Marrakesh, Morocco",Morocco,13 July 1321,1321.0,"Marrakesh, Morocco",Morocco,,,,,,1.0,['01'],2005.0,1.0,,,,"Ibn al-Banna was an Islamic mathematician who wrote a large number of works including an introduction to Euclid's Elements, an algebra text and various works on astronomy."
50,Abu Abdallah Mohammad ibn Jabir Al-Battani,M,about 850,850.0,"Harran (near Urfa), Mesopotamia (now Turkey)",Turkey,929,929.0,"Qasr al-Jiss, Iraq",Iraq,,,,,,,,,,,,,"Al-Battani or Albategnius was an Islamic astronomer and mathematician. He made important accurate measurements of the stars, moon and planets. His measurements and methods were used by later astronomers."
51,Abu Arrayhan Muhammad ibn Ahmad al-Biruni,M,15 September 0973,973.0,"Kath, Khwarazm (now Kara-Kalpakskaya, Uzbekistan)",Uzbekistan,13 December 1048,1048.0,"Ghazna (now Ghazni, Afganistan)",Afganistan,,,,,,1.0,['01'],1963.0,19.0,,,,"Al-Biruni is one of the major figures of Islamic mathematics. He contributed to astronomy, mathematics, physics, medicine and history."
52,Kamal al-Din Abu'l Hasan Muhammad Al-Farisi,M,about 1260,1260.0,,,about 1320,1320.0,"Tabriz, Iran",Iran,,,,,,,,,,,,,"Al-Farisi was an Islamic mathematician who made two major contributions to mathematics, one on light, the other on number theory."
53,Abu Ali al-Hasan ibn al-Haytham,M,965,965.0,"(possibly) Basra, Persia (now Iraq)",Iraq,1040,1040.0,"(possibly) Cairo, Egypt",Egypt,,,,,,1.0,['01'],1958.0,8.0,,,,Al-Haytham is also known as Alhazen. He was an Islamic mathematician who wrote early works on optics as well as geometry and number theory.
54,al-Abbas ibn Said Al-Jawhari,M,about 800,800.0,"possibly Baghdad, Iraq",Iraq,about 860,860.0,"possibly Baghdad, Iraq",Iraq,,,,,,,,,,,,,Al-Jawhari was an Islamic mathematician whose main work was a commentary on Euclid's Elements.
55,Abu Abd Allah Muhammad ibn Muadh Al-Jayyani,M,989,989.0,"Cordoba, Andalusia (now Spain)",Spain,after 1079,1079.0,"possibly Jaén, Andalusia (now Spain)",Spain,,,,,,,,,,,,,Al-Jayyani was an Islamic mathematician working in Spain. He wrote important commentaries on Euclid's Elements and he wrote the first treatise on spherical trigonometry.
56,Abu'l Hasan ibn Ali al Qalasadi,M,1412,1412.0,"Bastah (now Baza, Spain)",Spain,1486,1486.0,"Béja, Tunisia",Tunisia,,,,,,1.0,['01'],1999.0,2.0,,,,Al-Qalasadi was a Spanish Islamic mathematician who took the first steps toward the introduction of algebraic symbolism by using letters in place of numbers.
57,Abu Bekr ibn Muhammad ibn al-Husayn Al-Karaji,M,13 April 0953,953.0,Baghdad (now in Iraq),Iraq,about 1029,1029.0,,,,,,,,1.0,['01'],1986.0,1.0,,,,Al-Karaji was an Islamic mathematician who wrote about the work of earlier mathematicians and who can be regarded as the first person to free algebra from geometrical operations and replace them with the type of operations which are at the core of algebra today.
58,Ghiyath al-Din Jamshid Mas'ud al-Kashi,M,about 1380,1380.0,"Kashan, Iran",Iran,22 June 1429,1429.0,"Samarkand, Transoxania (now Uzbek)",Uzbekistan,,,,,,1.0,['01'],1956.0,1.0,,,,Jamshid al-Kashi was an Islamic mathematician who published some important teaching works and anticipated Stevin's work on decimals.
59,Shams al-Din Abu Abdallah Al-Khalili,M,about 1320,1320.0,"possibly Damascus, Syria",Syria,about 1380,1380.0,"possibly Damascus, Syria",Syria,,,,,,,,,,,,,Al-Khalili was an Islamic astronomer who compiled extensive tables for astronomical use.
60,Omar Khayyam,M,18 May 1048,1048.0,"Nishapur, Persia (now Iran)",Iran,4 December 1131,1131.0,"Nishapur, Persia (now Iran)",Iran,,,,,,,,,,,,,Omar Khayyam was an Islamic scholar who was a poet as well as a mathematician. He compiled astronomical tables and contributed to calendar reform and discovered a geometrical method of solving cubic equations by intersecting a parabola with a circle.
61,Abu Jafar Muhammad ibn al-Hasan Al-Khazin,M,about 900,900.0,Khurasan (eastern Iran),Iran,about 971,971.0,possibly Rayy,,,,,,,1.0,['01'],1983.0,2.0,,,,Al-Khazin was an Islamic mathematician who worked on number theory and astronomy.
62,Abu Mahmud Hamid ibn al-Khidr Al-Khujandi,M,about 940,940.0,"Khujand, Tajikistan",Tajikistan,1000,1000.0,,,,,,,,,,,,,,,Al-Khujandi was an Islamic astronomer and mathematician. He made accurate astronomical observations and may have made some advances in trigonometry.
63,Abu Ja'far Muhammad ibn Musa Al-Khwarizmi,M,about 780,780.0,possibly Baghdad (now in Iraq),Iraq,about 850,850.0,,,,,,,,1.0,['01'],1969.0,3.0,,,,Al'Khwarizmi was an Islamic mathematician who wrote on Hindu-Arabic numerals. The word algorithm derives from his name. His algebra treatise Hisab al-jabr w'al-muqabala gives us the word algebra and can be considered as the first book to be written on algebra.
64,Abu Yusuf Yaqub ibn Ishaq al-Sabbah Al-Kindi,M,about 801,801.0,"Kufa, Iraq",Iraq,873,873.0,"Baghdad, Iraq",Iraq,,,,,,,,,,,,,Al-Kindi was an Islamic mathematician who wrote on the Indian mumber system as well as geometry and optics.
65,Abu Sahl Waijan ibn Rustam al-Quhi,M,about 940,940.0,"Tabaristan (now Mazanderan), Persia (now Iran)",Iran,about 1000,1000.0,,,,,,,,1.0,['01'],1986.0,1.0,,,,Al-Quhi was an Islamic mathematician who was a leading figure in the revival and continuation of Greek geometry.
66,Muhyi l'din al-Maghribi,M,about 1220,1220.0,Spain,Spain,about 1283,1283.0,"Maragha, Iran",Iran,,,,,,,,,,,,,Muhyi l'din al-Maghribi was a Spanish-born Islamic astronomer who is most famous for his work on trigonometry.
67,Abu Abd Allah Muhammad ibn Isa Al-Mahani,M,about 820,820.0,"Mahan, Kerman, Persia (now Iran)",Iran,880,880.0,"Baghdad, Iraq",Iraq,,,,,,,,,,,,,Al-Mahani was an Islamic mathematician who tried to solve some of Archimedes' problems on cutting up spheres.
68,Abu l'Hasan Ali ibn Ahmad Al-Nasawi,M,about 1010,1010.0,"possibly Nasa, Khurasan,Iran",Iran,about 1075,1075.0,"possibly Baghdad, Iraq",Iraq,,,,,,1.0,['01'],1963.0,1.0,,,,Al-Nasawi was an Islamic mathematician who wrote summaries of some of Euclid's Elements.
69,Abu'l Abbas al-Fadl ibn Hatim Al-Nayrizi,M,about 865,865.0,"possibly Nayriz, Iran",Iran,about 922,922.0,"possibly Baghdad, Iraq",Iraq,,,,,,1.0,['01'],1982.0,1.0,,,,Al-Nayrizi was an Islamic mathematician who wrote commentaries on work by Ptolemy and Euclid.
70,Shams al-Din ibn Ashraf Al-Samarqandi,M,about 1250,1250.0,"Samarkand, Uzbekistan",Uzbekistan,about 1310,1310.0,,,,,,,,,,,,,,,"Shams al-Samarqandi was an Islamic mathematician who wrote works on theology, logic, philosophy, mathematics and astronomy."
71,Ibn Yahya al-Maghribi Al-Samawal,M,about 1130,1130.0,"Baghdad, Iraq",Iraq,about 1180,1180.0,"Maragha, Iran",Iran,,,,,,,,,,,,,Al-Samawal was an Islamic mathematician who was able to extend the arithmetic operations to handle polynomials. He used an early form of induction.
72,Abu Said Ahmad ibn Muhammad Al-Sijzi,M,about 945,945.0,"Sijistan, Persia (now Iran)",Iran,about 1020,1020.0,,,,,,,,1.0,['01'],1985.0,2.0,,,,Al-Sijzi was an Islamic astronomer and mathematician who wrote on the geometry of spheres.
73,Nasir al-Din al-Tusi,M,18 February 1201,1201.0,"Tus, Khorasan (now Iran)",Iran,26 June 1274,1274.0,Kadhimain (near Baghdad now in Iraq),Iraq,,,,,,1.0,['01'],1960.0,2.0,,,,Nasir al-Tusi was an Islamic astronomer and mathematician who joined the Mongols who conquered Baghdad. He made important contributions to astronomy and wrote many commentaries on Greek texts.
74,Sharaf al-Din al-Muzaffar al-Tusi,M,about 1135,1135.0,"Tus, Khorasan (now Iran)",Iran,1213,1213.0,Iran,Iran,,,,,,1.0,['01'],1986.0,2.0,,,,Sharaf al-Tusi was an Islamic mathematician who wrote a treatise on cubic equations.
75,Abu Abdallah Yaish ibn Ibrahim Al-Umawi,M,about 1400,1400.0,possibly Andalusia (now Spain),Spain,1489,1489.0,"possibly Damascus, Syria",Syria,,,,,,1.0,['01'],1981.0,1.0,,,,Al-Umawi was a Spanish-born Islamic mathematician who wrote works on mensuration and arithmetic.
76,Abu'l Hasan Ahmad ibn Ibrahim Al-Uqlidisi,M,about 920,920.0,"possibly Damascus, Syria",Syria,about 980,980.0,"possibly Damascus, Syria",Syria,,,,,,1.0,['01'],1978.0,1.0,,,,Al-Uqlidisi was an Islamic mathematician who wrote two works on arithmetic. He may have anticipated the invention of decimals.
77,Abu Ishaq Ibrahim ibn Yahya al-Zarqali,M,1029,1029.0,"Córdoba, Spain",Spain,15 October 1100,1100.0,"Córdoba, Spain",Spain,,,,,,,,,,,,,"Al-Zarkali was a Spanish Muslim instrument maker, astrologer and important astronomer. He invented a form of the astrolabe."
78,Mihailo Petrović,M,6 May 1868,1868.0,"Belgrade, Serbia",Serbia,8 June 1943,1943.0,"Belgrade, Yugoslavia, now Serbia",Serbia,Ph.D.,Ph.D.,Université Paris IV-Sorbonne,France,1894.0,65.0,"['65', '10', '01']",1946.0,3.0,3.0,11.0,1123.0,Mihailo Petrović was a Serbian mathematician and inventor who worked in differential equations and phenomenology.
79,Cristoforo Vincenzo Francesco Alasia,M,21 November 1864,1864.0,"Sassari, Sardinia, Italy",Italy,19 November 1918,1918.0,"Albenga, Savona, Italy",Italy,,,,,,,,,,,,,"Cristoforo Alasia was an Italian school teacher who produced papers on astronomy, geometry, rational mechanics and the history of mathematics."
80,Giacomo Albanese,M,11 July 1890,1890.0,"Geraci Siculo (near Palermo), Italy",Italy,8 June 1948,1948.0,"São Paulo, Brazil",Brazil,Dottore in Matematica,Ph.D.,Scuola Normale Superiore di Pisa,Italy,1913.0,1.0,['01'],1996.0,1.0,1.0,0.0,0.0,Giacomo Albanese was an Italian mathematician who worked in algebraic geometry. He finished his career teaching in Brazil.
81,Albert of Saxony,M,1316,1316.0,"Rickensdorf, Helmstedt, Lower Saxony (now Germany)",Germany,8 July 1390,1390.0,"Halberstadt, Saxony (now Germany)",Germany,,,,,,,,,,,,,Albert of Saxony was a German mathematician who acted mainly as a transmitter of the mathematics of others.
82,Saint Albertus Magnus,M,about 1200,1200.0,"Lauingen an der Donau, Swabia (now Germany)",Germany,15 November 1280,1280.0,"Cologne, Prussia (now Germany)",Germany,,,,,,,,,,,,,"Albert (or Albertus Magnus) was a German Dominican who wrote a commentary on Euclid's Elements. He was made a Saint in 1931 and, in 1941, was made patron of natural scientists."
