,name,gender,born_date,born_year,born_place,born_country,died_date,died_year,died_place,died_country,degree,degree_generalized,university,university_country,graduate_year,main_classification,classification_indices,earliest_publication,publication_count,advisor_count,student_count,descendant_count,summary
2932,Albert William Tucker,M,28 November 1905,1905.0,"Oshawa, Ontario, Canada",Canada,25 January 1995,1995.0,"Hightstown, New Jersey, USA",United States,Ph.D.,Ph.D.,Princeton University,United States,1932.0,90.0,"['90', '56', '05', '52', '01']",1931.0,31.0,1.0,12.0,2462.0,"Albert Tucker was a Canadian mathematician who worked in topology, game theory and non-linear programming. He gave the name and interpretation to the ""prisoner's dilemma"" in game theory."
2933,Robert Tucker,M,26 April 1832,1832.0,"Walworth, Surrey, England",United Kingdom,29 January 1905,1905.0,"Worthing, England",United Kingdom,,,,,,,,,,,,,"Robert Tucker was an English mathematician, who was secretary of the London Mathematical Society for more than 30 years."
2934,John Wilder Tukey,M,16 June 1915,1915.0,"New Bedford, Massachusetts, USA",United States,26 July 2000,2000.0,"Princeton, New Jersey, USA",United States,Ph.D.,Ph.D.,Princeton University,United States,1939.0,62.0,"['62', '01', '65', '60', '56', '92', '76', '46', '27', '26', '00']",1938.0,104.0,1.0,57.0,2074.0,John Tukey introduced the Fast Fourier Transform and worked in other areas of Statistics.
2935,Cuthbert Tunstall,M,1474,1474.0,"Hackforth, Yorkshire, England",United Kingdom,18 December 1559,1559.0,"Lambeth, London, England",United Kingdom,,,,,,,,,,,,,Cuthbert Tunstall wrote the first printed work published in England devoted exclusively to mathematics.
2936,Paul Turán,M,18 August 1910,1910.0,"Budapest, Hungary",Hungary,26 September 1976,1976.0,"Budapest, Hungary",Hungary,Dr. phil.,Ph.D.,Eötvös Loránd University,Hungary,1935.0,10.0,"['10', '41', '30', '01', '42', '65', '27', '20', '33', '05', '15', '34', '26', '94', '60', '56', '52', '40', '80', '35', '31', '12', '11', '09', '00']",1934.0,228.0,1.0,5.0,154.0,Paul Turán was a Hungarian mathematician who worked in number theory.
2937,Alan Mathison Turing,M,23 June 1912,1912.0,"London, England",United Kingdom,7 June 1954,1954.0,"Wilmslow, Cheshire, England",United Kingdom,Ph.D.,Ph.D.,Princeton University,United States,1938.0,65.0,"['65', '01', '02', '92', '94', '68', '20', '10', '03']",1936.0,24.0,1.0,1.0,232.0,Alan Turing's work was fundamental in the theoretical foundations of computer science.
2938,Herbert Westren Turnbull,M,31 August 1885,1885.0,"Tettenhall, Wolverhampton, England",United Kingdom,4 May 1961,1961.0,"Grasmere, Westmoreland, England",United Kingdom,,,,,,1.0,"['01', '09', '15', '48', '14', '02']",1939.0,24.0,0.0,4.0,67.0,Herbert Turnbull was Regius Professor of Mathematics at University of St Andrews from 1921 to 1950. He was an expert in Invariant Theory and an enthusiast for the History of Mathematics.
2939,John Turner,M,23 June 1871,1871.0,"Bridge-of-Weir, Kilbarchan (near Paisley), Scotland",United Kingdom,,,,,,,,,,,,,,,,,John Turner graduated from the university of Edinburgh and taught at the Royal High School of Edinburgh.
2940,Peter Turner,M,1586,1586.0,"London, England",United Kingdom,January 1652,1652.0,"Southwark, London, England",United Kingdom,,,,,,,,,,,,,"Peter Turner was an English scholar who held two mathematical chairs, but published no mathematics."
2941,William Thomas Tutte,M,14 May 1917,1917.0,"Newmarket, Suffolk, England",United Kingdom,2 May 2002,2002.0,"Waterloo, Canada",Canada,Ph.D.,Ph.D.,University of Cambridge,United Kingdom,1948.0,5.0,"['05', '56', '55', '94', '01', '52', '48', '10', '90', '54', '50', '20']",1940.0,160.0,1.0,8.0,275.0,Bill Tutte was an English mathematician best known for his work on code-breaking in World War II.
